,i(1to4),j(1toN),k(1toM),run_number
0,0.0,0.0,0.0,78.0
1,1.0,0.0,0.0,78.0
2,2.0,0.0,0.0,78.0
3,3.0,0.0,0.0,78.0
4,0.0,0.0,1.0,78.0
5,1.0,0.0,1.0,78.0
6,2.0,0.0,1.0,78.0
7,3.0,0.0,1.0,78.0
8,0.0,0.0,2.0,78.0
9,1.0,0.0,2.0,78.0
10,2.0,0.0,2.0,78.0
11,3.0,0.0,2.0,78.0
12,0.0,0.0,3.0,78.0
13,1.0,0.0,3.0,78.0
14,2.0,0.0,3.0,78.0
15,3.0,0.0,3.0,78.0
16,0.0,0.0,4.0,78.0
17,1.0,0.0,4.0,78.0
18,2.0,0.0,4.0,78.0
19,3.0,0.0,4.0,78.0
20,0.0,0.0,5.0,78.0
21,1.0,0.0,5.0,78.0
22,2.0,0.0,5.0,78.0
23,3.0,0.0,5.0,78.0
24,0.0,0.0,6.0,78.0
25,1.0,0.0,6.0,78.0
26,2.0,0.0,6.0,78.0
27,3.0,0.0,6.0,78.0
28,0.0,0.0,7.0,78.0
29,1.0,0.0,7.0,78.0
30,2.0,0.0,7.0,78.0
31,3.0,0.0,7.0,78.0
32,0.0,0.0,8.0,78.0
33,1.0,0.0,8.0,78.0
34,2.0,0.0,8.0,78.0
35,3.0,0.0,8.0,78.0
36,0.0,0.0,9.0,78.0
37,1.0,0.0,9.0,78.0
38,2.0,0.0,9.0,78.0
39,3.0,0.0,9.0,78.0
40,0.0,0.0,10.0,78.0
41,1.0,0.0,10.0,78.0
42,2.0,0.0,10.0,78.0
43,3.0,0.0,10.0,78.0
44,0.0,0.0,11.0,78.0
45,1.0,0.0,11.0,78.0
46,2.0,0.0,11.0,78.0
47,3.0,0.0,11.0,78.0
48,0.0,0.0,12.0,78.0
49,1.0,0.0,12.0,78.0
50,2.0,0.0,12.0,78.0
51,3.0,0.0,12.0,78.0
52,0.0,0.0,13.0,78.0
53,1.0,0.0,13.0,78.0
54,2.0,0.0,13.0,78.0
55,3.0,0.0,13.0,78.0
56,0.0,0.0,14.0,78.0
57,1.0,0.0,14.0,78.0
58,2.0,0.0,14.0,78.0
59,3.0,0.0,14.0,78.0
60,0.0,0.0,15.0,78.0
61,1.0,0.0,15.0,78.0
62,2.0,0.0,15.0,78.0
63,3.0,0.0,15.0,78.0
64,0.0,0.0,16.0,78.0
65,1.0,0.0,16.0,78.0
66,2.0,0.0,16.0,78.0
67,3.0,0.0,16.0,78.0
68,0.0,0.0,17.0,78.0
69,1.0,0.0,17.0,78.0
70,2.0,0.0,17.0,78.0
71,3.0,0.0,17.0,78.0
72,0.0,0.0,18.0,78.0
73,1.0,0.0,18.0,78.0
74,2.0,0.0,18.0,78.0
75,3.0,0.0,18.0,78.0
76,0.0,0.0,19.0,78.0
77,1.0,0.0,19.0,78.0
78,2.0,0.0,19.0,78.0
79,3.0,0.0,19.0,78.0
80,0.0,0.0,20.0,78.0
81,1.0,0.0,20.0,78.0
82,2.0,0.0,20.0,78.0
83,3.0,0.0,20.0,78.0
84,0.0,0.0,21.0,78.0
85,1.0,0.0,21.0,78.0
86,2.0,0.0,21.0,78.0
87,3.0,0.0,21.0,78.0
88,0.0,0.0,22.0,78.0
89,1.0,0.0,22.0,78.0
90,2.0,0.0,22.0,78.0
91,3.0,0.0,22.0,78.0
92,0.0,0.0,23.0,78.0
93,1.0,0.0,23.0,78.0
94,2.0,0.0,23.0,78.0
95,3.0,0.0,23.0,78.0
96,0.0,0.0,24.0,78.0
97,1.0,0.0,24.0,78.0
98,2.0,0.0,24.0,78.0
99,3.0,0.0,24.0,78.0
100,0.0,0.0,25.0,78.0
101,1.0,0.0,25.0,78.0
102,2.0,0.0,25.0,78.0
103,3.0,0.0,25.0,78.0
104,0.0,0.0,26.0,78.0
105,1.0,0.0,26.0,78.0
106,2.0,0.0,26.0,78.0
107,3.0,0.0,26.0,78.0
108,0.0,0.0,27.0,78.0
109,1.0,0.0,27.0,78.0
110,2.0,0.0,27.0,78.0
111,3.0,0.0,27.0,78.0
112,0.0,0.0,28.0,78.0
113,1.0,0.0,28.0,78.0
114,2.0,0.0,28.0,78.0
115,3.0,0.0,28.0,78.0
116,0.0,0.0,29.0,78.0
117,1.0,0.0,29.0,78.0
118,2.0,0.0,29.0,78.0
119,3.0,0.0,29.0,78.0
120,0.0,0.0,30.0,78.0
121,1.0,0.0,30.0,78.0
122,2.0,0.0,30.0,78.0
123,3.0,0.0,30.0,78.0
124,0.0,0.0,31.0,78.0
125,1.0,0.0,31.0,78.0
126,2.0,0.0,31.0,78.0
127,3.0,0.0,31.0,78.0
128,0.0,0.0,32.0,78.0
129,1.0,0.0,32.0,78.0
130,2.0,0.0,32.0,78.0
131,3.0,0.0,32.0,78.0
132,0.0,0.0,33.0,78.0
133,1.0,0.0,33.0,78.0
134,2.0,0.0,33.0,78.0
135,3.0,0.0,33.0,78.0
136,0.0,0.0,34.0,78.0
137,1.0,0.0,34.0,78.0
138,2.0,0.0,34.0,78.0
139,3.0,0.0,34.0,78.0
140,0.0,0.0,35.0,78.0
141,1.0,0.0,35.0,78.0
142,2.0,0.0,35.0,78.0
143,3.0,0.0,35.0,78.0
144,0.0,0.0,36.0,78.0
145,1.0,0.0,36.0,78.0
146,2.0,0.0,36.0,78.0
147,3.0,0.0,36.0,78.0
148,0.0,0.0,37.0,78.0
149,1.0,0.0,37.0,78.0
150,2.0,0.0,37.0,78.0
151,3.0,0.0,37.0,78.0
152,0.0,0.0,38.0,78.0
153,1.0,0.0,38.0,78.0
154,2.0,0.0,38.0,78.0
155,3.0,0.0,38.0,78.0
156,0.0,0.0,39.0,78.0
157,1.0,0.0,39.0,78.0
158,2.0,0.0,39.0,78.0
159,3.0,0.0,39.0,78.0
160,0.0,0.0,40.0,78.0
161,1.0,0.0,40.0,78.0
162,2.0,0.0,40.0,78.0
163,3.0,0.0,40.0,78.0
164,0.0,0.0,41.0,78.0
165,1.0,0.0,41.0,78.0
166,2.0,0.0,41.0,78.0
167,3.0,0.0,41.0,78.0
168,0.0,0.0,42.0,78.0
169,1.0,0.0,42.0,78.0
170,2.0,0.0,42.0,78.0
171,3.0,0.0,42.0,78.0
172,0.0,0.0,43.0,78.0
173,1.0,0.0,43.0,78.0
174,2.0,0.0,43.0,78.0
175,3.0,0.0,43.0,78.0
176,0.0,0.0,44.0,78.0
177,1.0,0.0,44.0,78.0
178,2.0,0.0,44.0,78.0
179,3.0,0.0,44.0,78.0
180,0.0,0.0,45.0,78.0
181,1.0,0.0,45.0,78.0
182,2.0,0.0,45.0,78.0
183,3.0,0.0,45.0,78.0
184,0.0,0.0,46.0,78.0
185,1.0,0.0,46.0,78.0
186,2.0,0.0,46.0,78.0
187,3.0,0.0,46.0,78.0
188,0.0,0.0,47.0,78.0
189,1.0,0.0,47.0,78.0
190,2.0,0.0,47.0,78.0
191,3.0,0.0,47.0,78.0
192,0.0,0.0,48.0,78.0
193,1.0,0.0,48.0,78.0
194,2.0,0.0,48.0,78.0
195,3.0,0.0,48.0,78.0
196,0.0,0.0,49.0,78.0
197,1.0,0.0,49.0,78.0
198,2.0,0.0,49.0,78.0
199,3.0,0.0,49.0,78.0
200,0.0,0.0,50.0,78.0
201,1.0,0.0,50.0,78.0
202,2.0,0.0,50.0,78.0
203,3.0,0.0,50.0,78.0
204,0.0,0.0,51.0,78.0
205,1.0,0.0,51.0,78.0
206,2.0,0.0,51.0,78.0
207,3.0,0.0,51.0,78.0
208,0.0,0.0,52.0,78.0
209,1.0,0.0,52.0,78.0
210,2.0,0.0,52.0,78.0
211,3.0,0.0,52.0,78.0
212,0.0,0.0,53.0,78.0
213,1.0,0.0,53.0,78.0
214,2.0,0.0,53.0,78.0
215,3.0,0.0,53.0,78.0
216,0.0,0.0,54.0,78.0
217,1.0,0.0,54.0,78.0
218,2.0,0.0,54.0,78.0
219,3.0,0.0,54.0,78.0
220,0.0,0.0,55.0,78.0
221,1.0,0.0,55.0,78.0
222,2.0,0.0,55.0,78.0
223,3.0,0.0,55.0,78.0
224,0.0,0.0,56.0,78.0
225,1.0,0.0,56.0,78.0
226,2.0,0.0,56.0,78.0
227,3.0,0.0,56.0,78.0
228,0.0,0.0,57.0,78.0
229,1.0,0.0,57.0,78.0
230,2.0,0.0,57.0,78.0
231,3.0,0.0,57.0,78.0
232,0.0,0.0,58.0,78.0
233,1.0,0.0,58.0,78.0
234,2.0,0.0,58.0,78.0
235,3.0,0.0,58.0,78.0
236,0.0,0.0,59.0,78.0
237,1.0,0.0,59.0,78.0
238,2.0,0.0,59.0,78.0
239,3.0,0.0,59.0,78.0
240,0.0,1.0,0.0,38.0
241,1.0,1.0,0.0,38.0
242,2.0,1.0,0.0,38.0
243,3.0,1.0,0.0,38.0
244,0.0,1.0,1.0,38.0
245,1.0,1.0,1.0,38.0
246,2.0,1.0,1.0,38.0
247,3.0,1.0,1.0,38.0
248,0.0,1.0,2.0,38.0
249,1.0,1.0,2.0,38.0
250,2.0,1.0,2.0,38.0
251,3.0,1.0,2.0,38.0
252,0.0,1.0,3.0,38.0
253,1.0,1.0,3.0,38.0
254,2.0,1.0,3.0,38.0
255,3.0,1.0,3.0,38.0
256,0.0,1.0,4.0,38.0
257,1.0,1.0,4.0,38.0
258,2.0,1.0,4.0,38.0
259,3.0,1.0,4.0,38.0
260,0.0,1.0,5.0,38.0
261,1.0,1.0,5.0,38.0
262,2.0,1.0,5.0,38.0
263,3.0,1.0,5.0,38.0
264,0.0,1.0,6.0,38.0
265,1.0,1.0,6.0,38.0
266,2.0,1.0,6.0,38.0
267,3.0,1.0,6.0,38.0
268,0.0,1.0,7.0,38.0
269,1.0,1.0,7.0,38.0
270,2.0,1.0,7.0,38.0
271,3.0,1.0,7.0,38.0
272,0.0,1.0,8.0,38.0
273,1.0,1.0,8.0,38.0
274,2.0,1.0,8.0,38.0
275,3.0,1.0,8.0,38.0
276,0.0,1.0,9.0,38.0
277,1.0,1.0,9.0,38.0
278,2.0,1.0,9.0,38.0
279,3.0,1.0,9.0,38.0
280,0.0,1.0,10.0,38.0
281,1.0,1.0,10.0,38.0
282,2.0,1.0,10.0,38.0
283,3.0,1.0,10.0,38.0
284,0.0,1.0,11.0,38.0
285,1.0,1.0,11.0,38.0
286,2.0,1.0,11.0,38.0
287,3.0,1.0,11.0,38.0
288,0.0,1.0,12.0,38.0
289,1.0,1.0,12.0,38.0
290,2.0,1.0,12.0,38.0
291,3.0,1.0,12.0,38.0
292,0.0,1.0,13.0,38.0
293,1.0,1.0,13.0,38.0
294,2.0,1.0,13.0,38.0
295,3.0,1.0,13.0,38.0
296,0.0,1.0,14.0,38.0
297,1.0,1.0,14.0,38.0
298,2.0,1.0,14.0,38.0
299,3.0,1.0,14.0,38.0
300,0.0,1.0,15.0,38.0
301,1.0,1.0,15.0,38.0
302,2.0,1.0,15.0,38.0
303,3.0,1.0,15.0,38.0
304,0.0,1.0,16.0,38.0
305,1.0,1.0,16.0,38.0
306,2.0,1.0,16.0,38.0
307,3.0,1.0,16.0,38.0
308,0.0,1.0,17.0,38.0
309,1.0,1.0,17.0,38.0
310,2.0,1.0,17.0,38.0
311,3.0,1.0,17.0,38.0
312,0.0,1.0,18.0,38.0
313,1.0,1.0,18.0,38.0
314,2.0,1.0,18.0,38.0
315,3.0,1.0,18.0,38.0
316,0.0,1.0,19.0,38.0
317,1.0,1.0,19.0,38.0
318,2.0,1.0,19.0,38.0
319,3.0,1.0,19.0,38.0
320,0.0,1.0,20.0,38.0
321,1.0,1.0,20.0,38.0
322,2.0,1.0,20.0,38.0
323,3.0,1.0,20.0,38.0
324,0.0,1.0,21.0,38.0
325,1.0,1.0,21.0,38.0
326,2.0,1.0,21.0,38.0
327,3.0,1.0,21.0,38.0
328,0.0,1.0,22.0,38.0
329,1.0,1.0,22.0,38.0
330,2.0,1.0,22.0,38.0
331,3.0,1.0,22.0,38.0
332,0.0,1.0,23.0,38.0
333,1.0,1.0,23.0,38.0
334,2.0,1.0,23.0,38.0
335,3.0,1.0,23.0,38.0
336,0.0,1.0,24.0,38.0
337,1.0,1.0,24.0,38.0
338,2.0,1.0,24.0,38.0
339,3.0,1.0,24.0,38.0
340,0.0,1.0,25.0,38.0
341,1.0,1.0,25.0,38.0
342,2.0,1.0,25.0,38.0
343,3.0,1.0,25.0,38.0
344,0.0,1.0,26.0,38.0
345,1.0,1.0,26.0,38.0
346,2.0,1.0,26.0,38.0
347,3.0,1.0,26.0,38.0
348,0.0,1.0,27.0,38.0
349,1.0,1.0,27.0,38.0
350,2.0,1.0,27.0,38.0
351,3.0,1.0,27.0,38.0
352,0.0,1.0,28.0,38.0
353,1.0,1.0,28.0,38.0
354,2.0,1.0,28.0,38.0
355,3.0,1.0,28.0,38.0
356,0.0,1.0,29.0,38.0
357,1.0,1.0,29.0,38.0
358,2.0,1.0,29.0,38.0
359,3.0,1.0,29.0,38.0
360,0.0,1.0,30.0,38.0
361,1.0,1.0,30.0,38.0
362,2.0,1.0,30.0,38.0
363,3.0,1.0,30.0,38.0
364,0.0,1.0,31.0,38.0
365,1.0,1.0,31.0,38.0
366,2.0,1.0,31.0,38.0
367,3.0,1.0,31.0,38.0
368,0.0,1.0,32.0,38.0
369,1.0,1.0,32.0,38.0
370,2.0,1.0,32.0,38.0
371,3.0,1.0,32.0,38.0
372,0.0,1.0,33.0,38.0
373,1.0,1.0,33.0,38.0
374,2.0,1.0,33.0,38.0
375,3.0,1.0,33.0,38.0
376,0.0,1.0,34.0,38.0
377,1.0,1.0,34.0,38.0
378,2.0,1.0,34.0,38.0
379,3.0,1.0,34.0,38.0
380,0.0,1.0,35.0,38.0
381,1.0,1.0,35.0,38.0
382,2.0,1.0,35.0,38.0
383,3.0,1.0,35.0,38.0
384,0.0,1.0,36.0,38.0
385,1.0,1.0,36.0,38.0
386,2.0,1.0,36.0,38.0
387,3.0,1.0,36.0,38.0
388,0.0,1.0,37.0,38.0
389,1.0,1.0,37.0,38.0
390,2.0,1.0,37.0,38.0
391,3.0,1.0,37.0,38.0
392,0.0,1.0,38.0,38.0
393,1.0,1.0,38.0,38.0
394,2.0,1.0,38.0,38.0
395,3.0,1.0,38.0,38.0
396,0.0,1.0,39.0,38.0
397,1.0,1.0,39.0,38.0
398,2.0,1.0,39.0,38.0
399,3.0,1.0,39.0,38.0
400,0.0,1.0,40.0,38.0
401,1.0,1.0,40.0,38.0
402,2.0,1.0,40.0,38.0
403,3.0,1.0,40.0,38.0
404,0.0,1.0,41.0,38.0
405,1.0,1.0,41.0,38.0
406,2.0,1.0,41.0,38.0
407,3.0,1.0,41.0,38.0
408,0.0,1.0,42.0,38.0
409,1.0,1.0,42.0,38.0
410,2.0,1.0,42.0,38.0
411,3.0,1.0,42.0,38.0
412,0.0,1.0,43.0,38.0
413,1.0,1.0,43.0,38.0
414,2.0,1.0,43.0,38.0
415,3.0,1.0,43.0,38.0
416,0.0,1.0,44.0,38.0
417,1.0,1.0,44.0,38.0
418,2.0,1.0,44.0,38.0
419,3.0,1.0,44.0,38.0
420,0.0,1.0,45.0,38.0
421,1.0,1.0,45.0,38.0
422,2.0,1.0,45.0,38.0
423,3.0,1.0,45.0,38.0
424,0.0,1.0,46.0,38.0
425,1.0,1.0,46.0,38.0
426,2.0,1.0,46.0,38.0
427,3.0,1.0,46.0,38.0
428,0.0,1.0,47.0,38.0
429,1.0,1.0,47.0,38.0
430,2.0,1.0,47.0,38.0
431,3.0,1.0,47.0,38.0
432,0.0,1.0,48.0,38.0
433,1.0,1.0,48.0,38.0
434,2.0,1.0,48.0,38.0
435,3.0,1.0,48.0,38.0
436,0.0,1.0,49.0,38.0
437,1.0,1.0,49.0,38.0
438,2.0,1.0,49.0,38.0
439,3.0,1.0,49.0,38.0
440,0.0,1.0,50.0,38.0
441,1.0,1.0,50.0,38.0
442,2.0,1.0,50.0,38.0
443,3.0,1.0,50.0,38.0
444,0.0,1.0,51.0,38.0
445,1.0,1.0,51.0,38.0
446,2.0,1.0,51.0,38.0
447,3.0,1.0,51.0,38.0
448,0.0,1.0,52.0,38.0
449,1.0,1.0,52.0,38.0
450,2.0,1.0,52.0,38.0
451,3.0,1.0,52.0,38.0
452,0.0,1.0,53.0,38.0
453,1.0,1.0,53.0,38.0
454,2.0,1.0,53.0,38.0
455,3.0,1.0,53.0,38.0
456,0.0,1.0,54.0,38.0
457,1.0,1.0,54.0,38.0
458,2.0,1.0,54.0,38.0
459,3.0,1.0,54.0,38.0
460,0.0,1.0,55.0,38.0
461,1.0,1.0,55.0,38.0
462,2.0,1.0,55.0,38.0
463,3.0,1.0,55.0,38.0
464,0.0,1.0,56.0,38.0
465,1.0,1.0,56.0,38.0
466,2.0,1.0,56.0,38.0
467,3.0,1.0,56.0,38.0
468,0.0,1.0,57.0,38.0
469,1.0,1.0,57.0,38.0
470,2.0,1.0,57.0,38.0
471,3.0,1.0,57.0,38.0
472,0.0,1.0,58.0,38.0
473,1.0,1.0,58.0,38.0
474,2.0,1.0,58.0,38.0
475,3.0,1.0,58.0,38.0
476,0.0,1.0,59.0,38.0
477,1.0,1.0,59.0,38.0
478,2.0,1.0,59.0,38.0
479,3.0,1.0,59.0,38.0
